date,cases,province_state,country,lat,long,deaths
1/23/20,0,,Indonesia,-0.7893,113.9213,0
1/23/20,0,,Iran,32.0,53.0,0
1/23/20,0,,Iraq,33.0,44.0,0
1/23/20,0,,Ireland,53.1424,-7.6921,0
1/23/20,0,,Israel,31.0,35.0,0
1/23/20,0,,Italy,43.0,12.0,0
1/23/20,0,,Jamaica,18.1096,-77.2975,0
1/23/20,2,,Japan,36.0,138.0,0
1/23/20,0,,Jordan,31.24,36.51,0
1/23/20,0,,Kazakhstan,48.0196,66.9237,0
1/23/20,0,,Kenya,-0.0236,37.9062,0
1/23/20,1,,"Korea, South",36.0,128.0,0
1/23/20,0,,Kuwait,29.5,47.75,0
1/23/20,0,,Kyrgyzstan,41.2044,74.7661,0
1/23/20,0,,Latvia,56.8796,24.6032,0
1/23/20,0,,Lebanon,33.8547,35.8623,0
1/23/20,0,,Liberia,6.4281,-9.4295,0
1/23/20,0,,Liechtenstein,47.14,9.55,0
1/23/20,0,,Lithuania,55.1694,23.8813,0
1/23/20,0,,Luxembourg,49.8153,6.1296,0
1/23/20,0,,Madagascar,-18.7669,46.8691,0
1/23/20,0,,Malaysia,2.5,112.5,0
1/23/20,0,,Maldives,3.2028,73.2207,0
1/23/20,0,,Malta,35.9375,14.3754,0
1/23/20,0,,Mauritania,21.0079,10.9408,0
1/23/20,0,,Mauritius,-20.2,57.5,0
1/23/20,0,,Mexico,23.6345,-102.5528,0
1/23/20,0,,Moldova,47.4116,28.3699,0
1/23/20,0,,Monaco,43.7333,7.4167,0
1/23/20,0,,Mongolia,46.8625,103.8467,0
1/23/20,0,,Montenegro,42.5,19.3,0
1/23/20,0,,Morocco,31.7917,-7.0926,0
1/23/20,0,,Namibia,-22.9576,18.4904,0
1/23/20,0,,Nepal,28.1667,84.25,0
1/23/20,0,Aruba,Netherlands,12.5186,-70.0358,0
1/23/20,0,Curacao,Netherlands,12.1696,-68.99,0
1/23/20,0,Sint Maarten,Netherlands,18.0425,-63.0548,0
1/23/20,0,,Netherlands,52.1326,5.2913,0
1/23/20,0,,New Zealand,-40.9006,174.886,0
1/23/20,0,,Nicaragua,12.8654,-85.2072,0
1/23/20,0,,Niger,17.6078,8.0817,0
1/23/20,0,,Nigeria,9.082,8.6753,0
1/23/20,0,,North Macedonia,41.6086,21.7453,0
1/23/20,0,,Norway,60.472,8.4689,0
1/23/20,0,,Oman,21.0,57.0,0
1/23/20,0,,Pakistan,30.3753,69.3451,0
1/23/20,0,,Panama,8.538,-80.7821,0
1/23/20,0,,Papua New Guinea,-6.315,143.9555,0
1/23/20,0,,Paraguay,-23.4425,-58.4438,0
1/23/20,0,,Peru,-9.19,-75.0152,0
1/23/20,0,,Philippines,13.0,122.0,0
1/23/20,0,,Poland,51.9194,19.1451,0
1/23/20,0,,Portugal,39.3999,-8.2245,0
1/23/20,0,,Qatar,25.3548,51.1839,0
1/23/20,0,,Romania,45.9432,24.9668,0
1/23/20,0,,Russia,60.0,90.0,0
1/23/20,0,,Rwanda,-1.9403,29.8739,0
1/23/20,0,,Saint Lucia,13.9094,-60.9789,0
1/23/20,0,,Saint Vincent and the Grenadines,12.9843,-61.2872,0
1/23/20,0,,San Marino,43.9424,12.4578,0
1/23/20,0,,Saudi Arabia,24.0,45.0,0
1/23/20,0,,Senegal,14.4974,-14.4524,0
1/23/20,0,,Serbia,44.0165,21.0059,0
1/23/20,0,,Seychelles,-4.6796,55.492,0
1/23/20,1,,Singapore,1.2833,103.8333,0
1/23/20,0,,Slovakia,48.669,19.699,0
1/23/20,0,,Slovenia,46.1512,14.9955,0
1/23/20,0,,Somalia,5.1521,46.1996,0
1/23/20,0,,South Africa,-30.5595,22.9375,0
1/23/20,0,,Spain,40.0,-4.0,0
1/23/20,0,,Sri Lanka,7.0,81.0,0
1/23/20,0,,Sudan,12.8628,30.2176,0
1/23/20,0,,Suriname,3.9193,-56.0278,0
1/23/20,0,,Sweden,63.0,16.0,0
1/23/20,0,,Switzerland,46.8182,8.2275,0
1/23/20,1,,Taiwan*,23.7,121.0,0
1/23/20,0,,Tanzania,-6.369,34.8888,0
1/23/20,3,,Thailand,15.0,101.0,0
1/23/20,0,,Togo,8.6195,0.8248,0
1/23/20,0,,Trinidad and Tobago,10.6918,-61.2225,0
